# Unit Display Names
# Generated by: node docs/tools/generateUnitNames.js
# Generated at: 2025-12-18T15:37:09.249Z
# Total units: 161

# Format: DISPLAY_NAME | id | points | type | faction
# ═══════════════════════════════════════════════════════════════════════


# ─── Atom Barons of Santagria ───
“EXTO” | exto | 25 pts | LOGISTICS CRAWLER | atom_barons
MD-II “MIST” | md_ii_mist | 40 pts | AIR SUPERIORITY FIGHTER | ebon_forest
MIST STALKERS | mist_stalkers | 15 pts | SNIPER TEAM | ebon_forest
R-2 “CHIEN DE CHASSE” | r_2_chien_de_chasse | 10 pts | OBSERVATION AIRCRAFT | ebon_forest
RECOILLESS RIFLE TEAM | recoilless_rifle_team_aef | 15 pts | GENERAL-PURPOSE TEAM | ebon_forest
SUBALTERN TEAM | subaltern_team | 10 pts | JUNIOR COMMAND TEAM | ebon_forest
TERRITORIALS | territorials | 5 pts | MILITIA SQUAD | ebon_forest
VBD SPECIAL “LUGUS” | vbd_special_lugus | 25 pts | RECOILLESS RIFLE CARRIER | ebon_forest
VBD-1 “TANNER” | vbd_1_tanner | 10 pts | ARMORED PERSONNEL CARRIER | ebon_forest
VBD-1B “TANNER-R” | vbd_1b_tanner_r | 15 pts | RECOILLESS RIFLE CARRIER | ebon_forest
VBD-2 “RAWHIDE” | vbd_2_rawhide | 20 pts | INFANTRY FIGHTING VEHICLE | ebon_forest
VBD-3 “MOTTE” | vbd_3_motte | 20 pts | ARMORED PERSONNEL CARRIER | ebon_forest
VBD-U “DENMOTHER” | vbd_u_denmother | 5 pts | UNIVERSAL CARRIER | ebon_forest
VdIM-K “KARVE” | vdim_k_karve | 10 pts | SPEEDBOAT | ebon_forest
VZ61 “CHARIOTS” | vz61_chariots | 15 pts | DUCTED FAN PLATFORMS | ebon_forest
WAILING WOMEN | wailing_women | 5 pts | SUICIDE BOMBERS | ebon_forest
WAYKEEPER JUDGE | waykeeper_judge | 20 pts | RELIGIOUS LEADER | ebon_forest
WAYKEEPERS | waykeepers | 15 pts | RELIGIOUS INSTRUCTORS | ebon_forest
WHITE GLOVES | white_gloves | 20 pts | ELITE LINE SQUAD | ebon_forest

# ─── Federal States-Army ───
2K52 “WHEAT” | 2k52_wheat | 25 pts | TOWED HOWITZER | federal_states
2M9 “KORENBLOEM” | 2m9_korenbloem | 25 pts | TOWED AUTOMATIC MORTAR | federal_states
ARMED CITIZENS | armed_citizens | 5 pts | MILITIA SQUAD | federal_states
ATGM TEAM | atgm_team | 10 pts | ANTI-TANK TEAM | federal_states
EXPEDITIONARY COMMAND | expeditionary_command | 15 pts | PARATROOPER COMMAND SQUAD | federal_states
EXPEDITIONARY R. R. TEAM | expeditionary_r_r_team | 15 pts | PARATROOPER G. P. TEAM | federal_states
FEDERAL EXPEDITIONARIES | federal_expeditionaries | 15 pts | PARATROOPER SQUAD | federal_states
HzN-18 “MOOSE” | hzn_18_moose | 15 pts | UTILITY HELICOPTER | federal_states
HzN-18B “BISON” | hzn_18b_bison | 25 pts | MAKESHIFT GUNSHIP | federal_states
HzN-22 “HUGAG” | hzn_22_hugag | 20 pts | HEAVY LIFT HELICOPTER | federal_states
INTERMARINE RANGERS | intermarine_rangers | 15 pts | SCOUT-SNIPER TEAM | federal_states
LaF-301 “OX” | laf_301_ox | 10 pts | LOGISTICS TRUCK | federal_states
MANPADS TEAM | manpads_team | 10 pts | ANTI-AIR TEAM | federal_states
MORTAR TEAM | mortar_team_fsa | 10 pts | ANTI-PERSONNEL TEAM | federal_states
PRIVATE SECURITY | private_security | 10 pts | PARAMILITARY SQUAD | federal_states
PUP CARSON SCOUTS | pup_carson_scouts | 10 pts | PATHFINDER TEAM | federal_states
RECOILLESS RIFLE TEAM | recoilless_rifle_team_fsa | 15 pts | GENERAL-PURPOSE TEAM | federal_states
RESERVISTS | reservists | 5 pts | MILITIA SQUAD | federal_states
S36 “PADDLE” | s36_paddle | 15 pts | RIVER GUNBOAT | federal_states
SiG-16 “RUFE” | sig_16_rufe | 20 pts | MULTI-ROLE FIGHTER | federal_states
SiG-16B “SCHROEF” | sig_16b_schroef | 30 pts | STRIKE AIRCRAFT | federal_states
SiG-17 “HARDNOSE” | sig_17_hardnose | 20 pts | LIGHT BOMBER | federal_states
STATES-GRENADIERS | states_grenadiers | 10 pts | LINE SQUAD | federal_states
TYPE 40 “VELDJEN” | type_40_veldjen | 20 pts | MEDIUM TANK | federal_states
TYPE 40M “VELDJEN-M” | type_40m_veldjen_m | 20 pts | MEDIUM TANK | federal_states
TYPE 52 “DUCK” | type_52_duck | 20 pts | LIGHT TANK | federal_states
TYPE 52LW “FIREHOSE” | type_52lw_firehose | 30 pts | SELF-PROPELLED ANTI-AIR GUN | federal_states
TYPE 52P “MALLARD” | type_52p_mallard | 20 pts | AIRMOBILE LIGHT TANK | federal_states
TYPE 55M “RAZORBACK-M” | type_55m_razorback_m | 40 pts | MAIN BATTLE TANK | federal_states
TYPE 60 “GRUMBLE” | type_60_grumble | 10 pts | ARMORED PERSONNEL CARRIER | federal_states
TYPE 60AT “RUNNER” | type_60at_runner | 25 pts | ATGM CARRIER | federal_states
TYPE 60MD “WAVE” | type_60md_wave | 30 pts | AUTOMATIC MORTAR CARRIER | federal_states
TYPE 68 “BANTAM” | type_68_bantam | 20 pts | INFANTRY FIGHTING VEHICLE | federal_states
TYPE 68B “BANTAM-MK” | type_68b_bantam_mk | 25 pts | INFANTRY FIGHTING VEHICLE | federal_states
TYPE 68C “APPOMATTOX” | type_68c_appomattox | 0 pts | COMMAND POST CARRIER | federal_states
TYPE 71 “TUSKER-K” | type_71_tusker_k | 50 pts | MAIN BATTLE TANK | federal_states
TYPE 71B “TUSKER-GM” | type_71b_tusker_gm | 80 pts | MAIN BATTLE TANK | federal_states
TYPE 71H “TUSKER-AV” | type_71h_tusker_av | 50 pts | SELF-PROPELLED HOWITZER | federal_states

# ─── The New Rygolic Host ───
“DESTROYING ANGEL” | destroying_angel | 80 pts | UNCLASSIFIED UNIT | rygolic_host
A1 “APOGEE” | a1_apogee | 50 pts | STRIKE AIRCRAFT | rygolic_host
ASSASSINS | assassins | 30 pts | COMMANDO TEAM | rygolic_host
AUTOMATED ATGM | automated_atgm | 20 pts | ANTI-TANK TURRET | rygolic_host
AUTOMATED SENTRY | automated_sentry | 15 pts | ANTI-PERSONNEL TURRET | rygolic_host
B1 “BLINDSIGHT” | b1_blindsight | 50 pts | STRIKE FIGHTER | rygolic_host
C1 “CABAL” | c1_cabal | 50 pts | ASSAULT GUN | rygolic_host
C2 “CHORUS” | c2_chorus | 60 pts | BEAM-RIDING MISSILE CARRIER | rygolic_host
C3 “CANDOR” | c3_candor | 25 pts | ARMORED PERSONNEL CARRIER | rygolic_host
CAPSULE SQUAD | capsule_squad | 25 pts | LOW ORBIT INSERTION SQUAD | rygolic_host
CARABINER HORSE | carabiner_horse | 15 pts | DRAFT ANIMAL | rygolic_host
CHEMICAL TEAM | chemical_team | 20 pts | ANTI-PERSONNEL TEAM | rygolic_host
G1 “GANGLION” | g1_ganglion | 20 pts | TRANSMISSION TOWER | rygolic_host
G1/80 “GAMMA” | g1_80_gamma | 40 pts | MAIN BATTLE TANK | rygolic_host
GUIDED MORTAR SPIDER | guided_mortar_spider | 30 pts | ANTI-PERSONNEL/MATERIEL TEAM | rygolic_host
H1 “HANDLER” | h1_handler | 15 pts | RECONNAISSANCE DRONE | rygolic_host
H2 “HANGMAN” | h2_hangman | 15 pts | ATTACK DRONE | rygolic_host
LASER TEAM | laser_team | 15 pts | ANTI-MATERIEL TEAM | rygolic_host
LEGIONNAIRES | legionnaires | 25 pts | LINE SQUAD | rygolic_host
M1 “MICROWAVE” | m1_microwave | 20 pts | UNMANNED TANKETTE | rygolic_host
MANPADS TEAM | manpads_team_nrh | 20 pts | ANTI-AIR TEAM | rygolic_host
MORTAR TEAM | mortar_team_prs | 15 pts | ANTI-PERSONNEL TEAM | rygolic_host
NODE TEAM | node_team | 20 pts | TRANSMISSION TEAM | rygolic_host
P1 “PARALLAX” | p1_parallax | 35 pts | INFANTRY FIGHTING HOVERCRAFT | rygolic_host
P2 “PERIGEE” | p2_perigee | 35 pts | INFANTRY FIGHTING HOVERCRAFT | rygolic_host
R1 “REDSTONE” | r1_redstone | 20 pts | LOGISTICS ROCKET | rygolic_host
R2 “REPEATER” | r2_repeater | 30 pts | ATTACK ROCKET | rygolic_host
RIFLEMEN | riflemen | 10 pts | LINE SQUAD | rygolic_host
S1 “SYNOD” | s1_synod | 40 pts | BIPEDAL LIGHT TANK | rygolic_host
S2 “STOCHAST” | s2_stochast | 40 pts | BIPEDAL ASSAULT TANK | rygolic_host
S3 “STOMA” | s3_stoma | 30 pts | BIPEDAL COMMAND VEHICLE | rygolic_host
SIMULACRUM | simulacrum | 30 pts | UNCLASSIFIED UNIT | rygolic_host
SMART GUN TEAM | smart_gun_team | 15 pts | ANTI-PERSONNEL TEAM | rygolic_host
T1 “TATTER” | t1_tatter | 60 pts | ATTACK HELICOPTER | rygolic_host
TACTICAL TEAM | tactical_team | 15 pts | LINE TEAM | rygolic_host
X1 “X-RAY” | x1_x_ray | 80 pts | MAIN BATTLE TANK | rygolic_host
X2 “XIPHOS” | x2_xiphos | 80 pts | SELF-PROPELLED HOWITZER | rygolic_host
X3 “XENON” | x3_xenon | 80 pts | SELF-PROPELLED LASER ARRAY | rygolic_host
Y1 “YARDFISH” | y1_yardfish | 30 pts | AUTONOMOUS TORPEDO | rygolic_host
Z1 “ZENITH” | z1_zenith | 50 pts | STEALTH BOMBER | rygolic_host


# ═══════════════════════════════════════════════════════════════════════
# SIMPLE LIST (display names only, for grammar reference)
# ═══════════════════════════════════════════════════════════════════════

2K52 “WHEAT”
2M9 “KORENBLOEM”
A1 “APOGEE”
AD-48 “FALCONET”
AD-IV “GROGNARD”
AES514 “BACKBONE”
AES805 “TORNADO”
ARMED CITIZENS
ASSASSINS
ATGM TEAM
ATOMIC PILGRIMS
AUTOMATED ATGM
AUTOMATED SENTRY
B1 “BLINDSIGHT”
BLACK FANGS
BOMBARD TEAM
BOUNDERS
C1 “CABAL”
C2 “CHORUS”
C3 “CANDOR”
CAPSULE SQUAD
CARABINER HORSE
CB.61 “GALGO”
CB.76 “MISÉRICORDE”
CHAR 30 “VELDJEN”
CHASSEURS
CHEMICAL TEAM
COMMONWEALTH RIFLES
COMPANY CHIEF
CdA-25 “SAUCER”
CdA-36 “BROOMCLOUD”
CdS-F1 “KENNEL”
CdS-F2 “AURORA”
DAG-16 “Cherry”
DAG-8 “BLOSSOM”
DC.4E “BAVIECA”
DC/B.2K “JONQUIL”
EXPEDITIONARY COMMAND
EXPEDITIONARY R. R. TEAM
FEDERAL EXPEDITIONARIES
FIELD GUN
G1 “GANGLION”
G1/80 “GAMMA”
GRENADIER TEAM
GROUNDSMEN
GUIDED MISSILE TEAM
GUIDED MORTAR SPIDER
H1 “HANDLER”
H2 “HANGMAN”
HAR 38 “BORVO”
HIMA TEAM
HzN-18 “MOOSE”
HzN-18B “BISON”
HzN-22 “HUGAG”
INTERMARINE RANGERS
INTERNAL SECURITY
INTERNAL SECURITY ESCORT
IRONPELTS
LASER TEAM
LDAL “PIETRO”
LEGIONNAIRES
LIGHT GUN TEAM
LaF-301 “OX”
M1 “MICROWAVE”
MACHINE GUN TEAM
MADE-TO-ORDERS
MANPADS TEAM
MC.17-86 “SPADA-FRESCO”
MC.20-01C “ROCINANTE”
MD-II “MIST”
MIST STALKERS
MORTAR TEAM
MOUNTED SERJEANTS
NODE TEAM
OSM “MOGUL”
P1 “PARALLAX”
P2 “PERIGEE”
PAGES
PEG.123-00 “KNIGHT-ERRANT”
PEG.123-AC “GRAF”
PEG.60-11 “SQUIRE”
PEG.80-01A “SAMBUCA”
PRIVATE SECURITY
PUP CARSON SCOUTS
R-2 “CHIEN DE CHASSE”
R1 “REDSTONE”
R2 “REPEATER”
RECOILLESS RIFLE TEAM
RESERVISTS
RIFLEMEN
S1 “SYNOD”
S2 “STOCHAST”
S3 “STOMA”
S36 “PADDLE”
SANTAGRINE MILITIA
SB.15 1-LBER “POM-POM”
SB.18 22-LBER “RETUMBO”
SIMULACRUM
SMART GUN TEAM
STATES-GRENADIERS
STEAM TRACTOR
SUBALTERN TEAM
SiG-16 “RUFE”
SiG-16B “SCHROEF”
SiG-17 “HARDNOSE”
T1 “TATTER”
TACTICAL TEAM
TENANT OFFICER
TERRITORIALS
TYPE 40 “VELDJEN”
TYPE 40M “VELDJEN-M”
TYPE 52 “DUCK”
TYPE 52LW “FIREHOSE”
TYPE 52P “MALLARD”
TYPE 55M “RAZORBACK-M”
TYPE 60 “GRUMBLE”
TYPE 60AT “RUNNER”
TYPE 60MD “WAVE”
TYPE 68 “BANTAM”
TYPE 68B “BANTAM-MK”
TYPE 68C “APPOMATTOX”
TYPE 71 “TUSKER-K”
TYPE 71B “TUSKER-GM”
TYPE 71H “TUSKER-AV”
UNI.28-03 “MAN-AT-ARMS”
UNI.28-05 “CONQUISTADOR”
UNI.28-08 “LANCER”
UNI.28-AC “DON”
VBD SPECIAL “LUGUS”
VBD-1 “TANNER”
VBD-1B “TANNER-R”
VBD-2 “RAWHIDE”
VBD-3 “MOTTE”
VBD-U “DENMOTHER”
VBD.127-DB “CASTELLAN”
VC.2 “VELDJEN”
VC.4 “JAVELINA”
VC.44R “WHIRLWIND”
VE.378 “CATAPHRACT”
VOLLEY TEAM
VZ61 “CHARIOTS”
VdIM-K “KARVE”
WAILING WOMEN
WAR WAGON
WAYKEEPER JUDGE
WAYKEEPERS
WHITE GLOVES
X1 “X-RAY”
X2 “XIPHOS”
X3 “XENON”
Y1 “YARDFISH”
YEOMAN PARAS
Z1 “ZENITH”
“DESTROYING ANGEL”
“EXTO”
“HEXAMER”
“VAUBAN”
